STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FOREST_FIRE,Forest_fire,AREA,Area,CWT,Province,UNIT,Unit measure,FREQ,Frequecny,TIME_PERIOD,OBS_VALUE
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2544,226
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2545,621
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2546,516
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2547,465
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2548,624
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2549,256
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2550,617
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2551,1340
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2552,416
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2553,360
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2554,166
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2555,140
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2556,227
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2557,22
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2558,91
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2559,221
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2560,156
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2561,87
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2562,286
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2563,105
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2564,15
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2565,23
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,AB,The area burned,TH4,Northeastern,31,Buri Ram,RAI,Rai,A,Annual,2566,114
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2542,275
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2543,577
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2544,313
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2545,408
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2546,243
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2547,378
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2548,267
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2549,189
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2550,336
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2551,147
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH3,North,57,Chiang Rai,TS,Times,A,Annual,2552,145
